s_id,country,type,servings
217,Ireland,beer,313
218,Ireland,spirit,118
219,Ireland,wine,165
220,Israel,beer,63
221,Israel,spirit,69
222,Israel,wine,9
223,Italy,beer,85
224,Italy,spirit,42
225,Italy,wine,237
226,Jamaica,beer,82
227,Jamaica,spirit,97
228,Jamaica,wine,9
229,Japan,beer,77
230,Japan,spirit,202
231,Japan,wine,16
232,Jordan,beer,6
233,Jordan,spirit,21
234,Jordan,wine,1
235,Kazakhstan,beer,124
236,Kazakhstan,spirit,246
237,Kazakhstan,wine,12
238,Kenya,beer,58
239,Kenya,spirit,22
240,Kenya,wine,2
241,Kiribati,beer,21
242,Kiribati,spirit,34
243,Kiribati,wine,1
244,Kyrgyzstan,beer,31
245,Kyrgyzstan,spirit,97
246,Kyrgyzstan,wine,6
247,Laos,beer,62
248,Laos,wine,123
249,Latvia,beer,281
250,Latvia,spirit,216
251,Latvia,wine,62
252,Lebanon,beer,20
253,Lebanon,spirit,55
254,Lebanon,wine,31
255,Lesotho,beer,82
256,Lesotho,spirit,29
257,Liberia,beer,19
258,Liberia,spirit,152
259,Liberia,wine,2
260,Lithuania,beer,343
261,Lithuania,spirit,244
262,Lithuania,wine,56
263,Luxembourg,beer,236
264,Luxembourg,spirit,133
265,Luxembourg,wine,271
266,Madagascar,beer,26
267,Madagascar,spirit,15
268,Madagascar,wine,4
269,Malawi,beer,8
270,Malawi,spirit,11
271,Malawi,wine,1
272,Malaysia,beer,13
273,Malaysia,spirit,4
274,Mali,beer,5
275,Mali,spirit,1
276,Mali,wine,1
277,Malta,beer,149
278,Malta,spirit,100
279,Malta,wine,120
280,Mauritius,beer,98
281,Mauritius,spirit,31
282,Mauritius,wine,18
283,Mexico,beer,238
284,Mexico,spirit,68
285,Mexico,wine,5
286,Micronesia,beer,62
287,Micronesia,spirit,50
288,Micronesia,wine,18
289,Mongolia,beer,77
290,Mongolia,spirit,189
291,Mongolia,wine,8
292,Montenegro,beer,31
293,Montenegro,spirit,114
294,Montenegro,wine,128
295,Morocco,beer,12
296,Morocco,spirit,6
297,Morocco,wine,10
298,Mozambique,beer,47
299,Mozambique,spirit,18
300,Mozambique,wine,5
301,Myanmar,beer,5
302,Myanmar,spirit,1
303,Namibia,beer,376
304,Namibia,spirit,3
305,Namibia,wine,1
306,Nauru,beer,49
307,Nauru,wine,8
308,Nepal,beer,5
309,Nepal,spirit,6
310,Netherlands,beer,251
311,Netherlands,spirit,88
312,Netherlands,wine,190
313,New Zealand,beer,203
314,New Zealand,spirit,79
315,New Zealand,wine,175
